date,active_lenders
2006-06-01,190
2006-06-02,188
2006-06-03,189
2006-06-04,183
2006-06-05,176
2006-06-06,192
2006-06-07,199
2006-06-08,196
2006-06-09,199
2006-06-10,194
2006-06-11,192
2006-06-12,193
2006-06-13,195
2006-06-14,194
2006-06-15,190
2006-06-16,188
2006-06-17,181
2006-06-18,182
2006-06-19,178
2006-06-20,170
2006-06-21,163
2006-06-22,164
2006-06-23,155
2006-06-24,155
2006-06-25,160
2006-06-26,160
2006-06-27,163
2006-06-28,167
2006-06-29,167
2006-06-30,174
2006-07-01,168
2006-07-02,180
2006-07-03,181
2006-07-04,203
2006-07-05,207
2006-07-06,212
2006-07-07,205
2006-07-08,203
2006-07-09,202
2006-07-10,207
2006-07-11,209
2006-07-12,208
2006-07-13,209
2006-07-14,210
2006-07-15,211
2006-07-16,154
2006-07-17,153
2006-07-18,153
2006-07-19,150
2006-07-20,151
2006-07-21,157
2006-07-22,164
2006-07-23,185
2006-07-24,189
2006-07-25,206
2006-07-26,229
2006-07-27,237
2006-07-28,239
2006-07-29,248
2006-07-30,253
2006-07-31,266
2006-08-01,265
2006-08-02,265
2006-08-03,271
2006-08-04,249
2006-08-05,246
2006-08-06,247
2006-08-07,250
2006-08-08,254
2006-08-09,259
2006-08-10,258
2006-08-11,258
2006-08-12,265
2006-08-13,261
2006-08-14,265
2006-08-15,262
2006-08-16,270
2006-08-17,277
2006-08-18,279
2006-08-19,285
2006-08-20,286
2006-08-21,290
2006-08-22,288
2006-08-23,270
2006-08-24,272
2006-08-25,269
2006-08-26,235
2006-08-27,227
2006-08-28,230
2006-08-29,237
2006-08-30,227
2006-08-31,221
2006-09-01,234
2006-09-02,245
2006-09-03,230
2006-09-04,233
2006-09-05,240
2006-09-06,249
2006-09-07,247
2006-09-08,252
2006-09-09,256
2006-09-10,256
2006-09-11,257
2006-09-12,268
2006-09-13,268
2006-09-14,265
2006-09-15,269
2006-09-16,264
2006-09-17,271
2006-09-18,269
2006-09-19,264
2006-09-20,267
2006-09-21,266
2006-09-22,266
2006-09-23,273
2006-09-24,265
2006-09-25,274
2006-09-26,278
2006-09-27,273
2006-09-28,265
2006-09-29,267
2006-09-30,279
2006-10-01,303
2006-10-02,297
2006-10-03,280
2006-10-04,286
2006-10-05,283
2006-10-06,277
2006-10-07,268
2006-10-08,280
2006-10-09,280
2006-10-10,278
2006-10-11,274
2006-10-12,274
2006-10-13,269
2006-10-14,288
2006-10-15,282
2006-10-16,304
2006-10-17,302
2006-10-18,312
2006-10-19,326
2006-10-20,327
2006-10-21,330
2006-10-22,333
2006-10-23,336
2006-10-24,338
2006-10-25,354
2006-10-26,361
2006-10-27,375
2006-10-28,383
2006-10-29,388
2006-10-30,395
2006-10-31,411
2006-11-01,401
2006-11-02,400
2006-11-03,461
2006-11-04,803
2006-11-05,1491
2006-11-06,1846
2006-11-07,2313
2006-11-08,2486
2006-11-09,2566
2006-11-10,2784
2006-11-11,2962
2006-11-12,3098
2006-11-13,3303
2006-11-14,3449
2006-11-15,3649
2006-11-16,3774
2006-11-17,3929
2006-11-18,4055
2006-11-19,4161
2006-11-20,4269
2006-11-21,4380
2006-11-22,4424
2006-11-23,4561
2006-11-24,4667
2006-11-25,4696
2006-11-26,4780
2006-11-27,4843
2006-11-28,4915
2006-11-29,5003
2006-11-30,5104
2006-12-01,5176
2006-12-02,5260
2006-12-03,5382
2006-12-04,5421
2006-12-05,5342
2006-12-06,4814
2006-12-07,4702
2006-12-08,4379
2006-12-09,4253
2006-12-10,4288
2006-12-11,4264
2006-12-12,4281
2006-12-13,4299
2006-12-14,4199
2006-12-15,4184
2006-12-16,4097
2006-12-17,4212
2006-12-18,4238
2006-12-19,4349
2006-12-20,4446
2006-12-21,4669
2006-12-22,4908
2006-12-23,5093
2006-12-24,5338
2006-12-25,5515
2006-12-26,5737
2006-12-27,6000
2006-12-28,6254
2006-12-29,6481
2006-12-30,6675
2006-12-31,6804
2007-01-01,6865
2007-01-02,6961
2007-01-03,7049
2007-01-04,7219
2007-01-05,7348
2007-01-06,7432
2007-01-07,7490
2007-01-08,7500
2007-01-09,7585
2007-01-10,7645
2007-01-11,7688
2007-01-12,7644
2007-01-13,7634
2007-01-14,7716
2007-01-15,7743
2007-01-16,7804
2007-01-17,7738
2007-01-18,7706
2007-01-19,7462
2007-01-20,7338
2007-01-21,7263
2007-01-22,7046
2007-01-23,7031
2007-01-24,6837
2007-01-25,6660
2007-01-26,6552
2007-01-27,6313
2007-01-28,6178
2007-01-29,6018
2007-01-30,5828
2007-01-31,5724
2007-02-01,5722
2007-02-02,5658
2007-02-03,5534
2007-02-04,5388
2007-02-05,5225
2007-02-06,5194
2007-02-07,5157
2007-02-08,5081
2007-02-09,4985
2007-02-10,4963
2007-02-11,4951
2007-02-12,4982
2007-02-13,4933
2007-02-14,4862
2007-02-15,4849
2007-02-16,4754
2007-02-17,4668
2007-02-18,4648
2007-02-19,4756
2007-02-20,4792
2007-02-21,4672
2007-02-22,4659
2007-02-23,4541
2007-02-24,4534
2007-02-25,4524
2007-02-26,4553
2007-02-27,4571
2007-02-28,4520
2007-03-01,4524
2007-03-02,4561
2007-03-03,4549
2007-03-04,4512
2007-03-05,4487
2007-03-06,4526
2007-03-07,4497
2007-03-08,4549
2007-03-09,4597
2007-03-10,4638
2007-03-11,4612
2007-03-12,4619
2007-03-13,4642
2007-03-14,4694
2007-03-15,4707
2007-03-16,4772
2007-03-17,4805
2007-03-18,4838
2007-03-19,4947
2007-03-20,5023
2007-03-21,5093
2007-03-22,5098
2007-03-23,5086
2007-03-24,5065
2007-03-25,5071
2007-03-26,5079
2007-03-27,5673
2007-03-28,6787
2007-03-29,7274
2007-03-30,7564
2007-03-31,7577
2007-04-01,7700
2007-04-02,7886
2007-04-03,8031
2007-04-04,8113
2007-04-05,8214
2007-04-06,8362
2007-04-07,8412
2007-04-08,8562
2007-04-09,8634
2007-04-10,8689
2007-04-11,10338
2007-04-12,11596
2007-04-13,12107
2007-04-14,12428
2007-04-15,12739
2007-04-16,13093
2007-04-17,13281
2007-04-18,13433
2007-04-19,13610
2007-04-20,13704
2007-04-21,13752
2007-04-22,13824
2007-04-23,14024
2007-04-24,14076
2007-04-25,14208
2007-04-26,14389
2007-04-27,14153
2007-04-28,13229
2007-04-29,12789
2007-04-30,12482
2007-05-01,12511
2007-05-02,12539
2007-05-03,12467
2007-05-04,12448
2007-05-05,12516
2007-05-06,12499
2007-05-07,12510
2007-05-08,12712
2007-05-09,12700
2007-05-10,12688
2007-05-11,12683
2007-05-12,11691
2007-05-13,10618
2007-05-14,10194
2007-05-15,9926
2007-05-16,9671
2007-05-17,9300
2007-05-18,9183
2007-05-19,9014
2007-05-20,8822
2007-05-21,8826
2007-05-22,8729
2007-05-23,8732
2007-05-24,8603
2007-05-25,8500
2007-05-26,8426
2007-05-27,8247
2007-05-28,8215
2007-05-29,8304
2007-05-30,8697
2007-05-31,8851
2007-06-01,8777
2007-06-02,8840
2007-06-03,9072
2007-06-04,9196
2007-06-05,9136
2007-06-06,9896
2007-06-07,10218
2007-06-08,10243
2007-06-09,10348
2007-06-10,10402
2007-06-11,10586
2007-06-12,10719
2007-06-13,10801
2007-06-14,10873
2007-06-15,10888
2007-06-16,10882
2007-06-17,10945
2007-06-18,11064
2007-06-19,11119
2007-06-20,11193
2007-06-21,11241
2007-06-22,11343
2007-06-23,11299
2007-06-24,11359
2007-06-25,11434
2007-06-26,11560
2007-06-27,11631
2007-06-28,11692
2007-06-29,11622
2007-06-30,11333
2007-07-01,11225
2007-07-02,11343
2007-07-03,11238
2007-07-04,11147
2007-07-05,11105
2007-07-06,11157
2007-07-07,10604
2007-07-08,10203
2007-07-09,10182
2007-07-10,10042
2007-07-11,10005
2007-07-12,9783
2007-07-13,9615
2007-07-14,9623
2007-07-15,9608
2007-07-16,9636
2007-07-17,9691
2007-07-18,9696
2007-07-19,9696
2007-07-20,9727
2007-07-21,9689
2007-07-22,9615
2007-07-23,9571
2007-07-24,9678
2007-07-25,9745
2007-07-26,9722
2007-07-27,9677
2007-07-28,9613
2007-07-29,9503
2007-07-30,9514
2007-07-31,9558
2007-08-01,9567
2007-08-02,9505
2007-08-03,9541
2007-08-04,9291
2007-08-05,9139
2007-08-06,9042
2007-08-07,9082
2007-08-08,9102
2007-08-09,9061
2007-08-10,9033
2007-08-11,8957
2007-08-12,8942
2007-08-13,8938
2007-08-14,8925
2007-08-15,8883
2007-08-16,8753
2007-08-17,8704
2007-08-18,8714
2007-08-19,8517
2007-08-20,8379
2007-08-21,8447
2007-08-22,8818
2007-08-23,9629
2007-08-24,9745
2007-08-25,9809
2007-08-26,9851
2007-08-27,9969
2007-08-28,10149
2007-08-29,10324
