date,number_funded,amount_funded
2006-06-01,1,275
2006-06-02,2,1025
2006-06-03,4,1325
2006-06-04,4,1325
2006-06-05,4,1325
2006-06-06,13,5875
2006-06-07,18,8125
2006-06-08,19,10000
2006-06-09,21,11000
2006-06-10,21,11000
2006-06-11,22,11800
2006-06-12,23,11950
2006-06-13,28,13325
2006-06-14,30,13775
2006-06-15,57,30975
2006-06-16,60,32700
2006-06-17,60,32700
2006-06-18,62,33650
2006-06-19,63,34150
2006-06-20,63,34150
2006-06-21,63,34150
2006-06-22,64,34400
2006-06-23,65,34675
2006-06-24,66,34950
2006-06-25,68,35500
2006-06-26,70,36375
2006-06-27,74,39325
2006-06-28,77,41500
2006-06-29,76,41225
2006-06-30,78,42325
2006-07-01,78,42725
2006-07-02,84,46875
2006-07-03,88,48975
2006-07-04,85,50125
2006-07-05,83,48650
2006-07-06,85,48425
2006-07-07,84,47725
2006-07-08,85,48000
2006-07-09,84,47200
2006-07-10,86,48875
2006-07-11,84,48700
2006-07-12,83,49000
2006-07-13,58,32675
2006-07-14,57,31850
2006-07-15,58,32600
2006-07-16,56,31650
2006-07-17,56,31625
2006-07-18,56,31625
2006-07-19,57,32100
2006-07-20,57,32350
2006-07-21,58,32925
2006-07-22,60,34325
2006-07-23,66,40025
2006-07-24,66,40750
2006-07-25,68,40600
2006-07-26,76,46500
2006-07-27,86,49500
2006-07-28,90,50275
2006-07-29,96,54525
2006-07-30,93,51475
2006-07-31,94,52400
2006-08-01,89,46950
2006-08-02,96,48700
2006-08-03,102,51425
2006-08-04,106,54125
2006-08-05,105,53850
2006-08-06,108,55450
2006-08-07,106,54400
2006-08-08,106,55375
2006-08-09,110,57650
2006-08-10,113,60025
2006-08-11,113,59275
2006-08-12,115,60750
2006-08-13,115,60750
2006-08-14,117,62675
2006-08-15,117,62675
2006-08-16,120,64875
2006-08-17,122,65950
2006-08-18,124,66425
2006-08-19,123,66250
2006-08-20,117,61050
2006-08-21,117,60900
2006-08-22,111,58100
2006-08-23,101,50900
2006-08-24,93,49650
2006-08-25,91,48375
2006-08-26,84,44225
2006-08-27,83,44125
2006-08-28,82,43575
2006-08-29,86,46325
2006-08-30,77,43950
2006-08-31,69,40075
2006-09-01,68,40475
2006-09-02,72,43525
2006-09-03,70,42225
2006-09-04,73,43650
2006-09-05,73,43175
2006-09-06,72,42150
2006-09-07,68,39350
2006-09-08,70,40725
2006-09-09,71,41450
2006-09-10,73,42900
2006-09-11,71,40950
2006-09-12,75,43425
2006-09-13,71,40750
2006-09-14,74,42800
2006-09-15,72,42500
2006-09-16,72,42600
2006-09-17,76,46175
2006-09-18,74,44725
2006-09-19,76,45275
2006-09-20,78,44750
2006-09-21,84,44625
2006-09-22,80,43425
2006-09-23,85,44025
2006-09-24,84,43275
2006-09-25,84,43150
2006-09-26,81,41600
2006-09-27,81,41925
2006-09-28,83,42125
2006-09-29,84,41375
2006-09-30,87,42825
2006-10-01,90,46425
2006-10-02,87,44525
2006-10-03,86,43775
2006-10-04,86,43100
2006-10-05,86,43600
2006-10-06,86,42800
2006-10-07,83,40100
2006-10-08,88,44100
2006-10-09,89,45000
2006-10-10,92,45350
2006-10-11,96,47850
2006-10-12,91,44525
2006-10-13,92,44800
2006-10-14,95,45775
2006-10-15,94,44075
2006-10-16,103,48850
2006-10-17,105,50150
2006-10-18,111,54775
2006-10-19,108,55500
2006-10-20,108,56250
2006-10-21,103,55325
2006-10-22,106,59375
2006-10-23,103,57275
2006-10-24,102,56750
2006-10-25,106,58200
2006-10-26,110,59775
2006-10-27,113,61900
2006-10-28,110,58675
2006-10-29,111,56050
2006-10-30,113,58075
2006-10-31,120,61675
2006-11-01,125,62700
2006-11-02,124,61750
2006-11-03,151,72975
2006-11-04,235,115800
2006-11-05,349,177500
2006-11-06,396,200625
2006-11-07,438,227050
2006-11-08,457,238225
2006-11-09,468,242825
2006-11-10,488,256925
2006-11-11,505,268275
2006-11-12,514,275575
2006-11-13,524,286800
2006-11-14,542,298125
2006-11-15,554,306975
2006-11-16,564,316500
2006-11-17,579,327125
2006-11-18,596,338075
2006-11-19,623,347250
2006-11-20,642,363650
2006-11-21,670,383650
2006-11-22,675,387825
2006-11-23,690,402350
2006-11-24,706,414900
2006-11-25,713,421425
2006-11-26,727,435425
2006-11-27,744,445925
2006-11-28,749,452325
2006-11-29,755,462150
2006-11-30,774,479400
2006-12-01,765,484025
2006-12-02,699,455425
2006-12-03,603,408550
2006-12-04,576,393825
2006-12-05,558,383800
2006-12-06,564,387850
2006-12-07,577,401875
2006-12-08,578,407950
2006-12-09,589,412975
2006-12-10,607,419500
2006-12-11,629,425150
2006-12-12,641,436750
2006-12-13,653,446525
2006-12-14,656,448775
2006-12-15,678,457450
2006-12-16,683,464225
2006-12-17,688,482075
2006-12-18,706,491175
2006-12-19,717,507300
2006-12-20,734,529100
2006-12-21,771,554975
2006-12-22,806,580575
2006-12-23,838,600675
2006-12-24,884,630450
2006-12-25,903,660200
2006-12-26,933,676425
2006-12-27,959,702450
2006-12-28,992,730125
2006-12-29,1018,752575
2006-12-30,1053,778700
2006-12-31,1076,791125
2007-01-01,1092,803750
2007-01-02,1095,806125
2007-01-03,1092,813425
2007-01-04,1100,827450
2007-01-05,1112,834925
2007-01-06,1106,832300
2007-01-07,1101,830750
2007-01-08,1084,832950
2007-01-09,1073,830275
2007-01-10,1061,825825
2007-01-11,1061,828325
2007-01-12,1040,824750
2007-01-13,1036,824900
2007-01-14,1022,814275
2007-01-15,1004,804650
2007-01-16,991,789400
2007-01-17,994,781000
2007-01-18,956,753500
2007-01-19,911,715450
2007-01-20,882,700000
2007-01-21,854,687575
2007-01-22,839,665875
2007-01-23,837,672575
2007-01-24,820,653600
2007-01-25,795,627525
2007-01-26,766,600050
2007-01-27,740,575475
2007-01-28,724,565775
2007-01-29,711,558400
2007-01-30,694,547900
2007-01-31,694,537850
2007-02-01,699,529050
2007-02-02,691,517700
2007-02-03,684,514300
2007-02-04,682,517775
2007-02-05,674,505100
2007-02-06,676,498925
2007-02-07,677,492000
2007-02-08,677,487425
2007-02-09,681,483100
2007-02-10,689,480575
2007-02-11,690,475125
2007-02-12,693,474250
2007-02-13,682,466200
2007-02-14,675,463125
2007-02-15,678,462600
2007-02-16,681,468925
2007-02-17,683,466850
2007-02-18,660,445250
2007-02-19,657,442425
2007-02-20,642,428550
2007-02-21,647,434175
2007-02-22,651,433775
2007-02-23,661,439350
2007-02-24,662,435350
2007-02-25,654,428150
2007-02-26,648,425650
2007-02-27,655,433300
2007-02-28,660,442275
2007-03-01,650,433750
2007-03-02,644,429725
2007-03-03,644,429975
2007-03-04,640,427275
2007-03-05,650,432750
2007-03-06,653,435300
2007-03-07,689,460100
2007-03-08,707,468750
2007-03-09,748,487375
2007-03-10,759,503800
2007-03-11,764,510125
2007-03-12,770,518575
2007-03-13,823,538300
2007-03-14,852,567325
2007-03-15,859,574250
2007-03-16,943,617125
2007-03-17,970,635625
2007-03-18,995,649575
2007-03-19,1016,661775
2007-03-20,1069,696100
2007-03-21,1076,698750
2007-03-22,1082,699800
2007-03-23,1072,696550
2007-03-24,1073,710400
2007-03-25,1067,709350
2007-03-26,1083,718400
2007-03-27,1165,761650
2007-03-28,1304,863275
2007-03-29,1345,901200
2007-03-30,1393,936825
2007-03-31,1406,939825
