country,funded_amount,total,average,percent_of_funded_amount,percent_of_total
Philippines,15914650,47837,332.6849509793674352,0.11203499877156536363,0.26450763880057284093
Kenya,8352275,18365,454.7930846719303022,0.05879784471319043130,0.10154655991329975173
Cambodia,5253825,11239,467.4637423258297002,0.03698556219715918331,0.06214439351296356710
El Salvador,4810475,7679,626.4455007162390936,0.03386449345198580507,0.04245989837049979818
Pakistan,3660125,7584,482.6114187763713080,0.02576632850102111429,0.04193460987652955715
Colombia,3046375,6118,497.9364171297809742,0.02144568805363155549,0.03382857901168352198
Peru,9015875,6019,1497.9024754942681509,0.06346941620139851476,0.03328117310744084975
Tajikistan,3135800,5396,581.1341734618235730,0.02207521680639377349,0.02983638645750969019
Ecuador,4375425,4634,944.2004747518342685,0.03080185454911521027,0.02562301980061154639
Uganda,2833400,3990,710.1253132832080201,0.01994639941936224179,0.02206211674675012303
Paraguay,9411275,3636,2588.3594609460946095,0.06625292941182268021,0.02010472593763996174
India,1477400,3353,440.6203399940351924,0.01040051192989545282,0.01853991916086545426
Lebanon,3683450,2864,1286.1208100558659218,0.02593053043737200873,0.01583606575506073994
Vietnam,3688925,2843,1297.5466056982061203,0.02596907301407173636,0.01571994935113047613
Nigeria,598175,2441,245.0532568619418271,0.00421099649632138384,0.01349714961875114043
Palestine,3882675,2338,1660.6822070145423439,0.02733302264613972335,0.01292762630423603700
Indonesia,1445250,2245,643.7639198218262806,0.01017418428772262298,0.01241339651540201158
Armenia,3192500,2224,1435.4766187050359712,0.02247437006646218568,0.01229728011147174777
Bolivia,5055100,2187,2311.4311842706904435,0.03558658985840970865,0.01209269406645175916
Nicaragua,1999200,2167,922.5657591139824642,0.01407384828093068179,0.01198210701508960316
Samoa,1639800,2114,775.6859035004730369,0.01154376571181979392,0.01168905132897988974
Mexico,3716125,2071,1794.3626267503621439,0.02616055394306399053,0.01145128916855125433
Guatemala,3471625,2042,1700.1101860920666014,0.02443933750414464695,0.01129093794407612813
Togo,423250,1855,228.1671159029649596,0.00297956997044013159,0.01025694901383996948
Madagascar,607150,1777,341.6713562183455262,0.00427417816314879124,0.00982565951352756106
Rwanda,4799725,1725,2782.4492753623188406,0.03378881624659364579,0.00953813317998595544
Tanzania,1613325,1646,980.1488456865127582,0.01135738859435398770,0.00910131432710543922
Honduras,1193850,1487,802.8581035642232683,0.00840439364255156786,0.00822214726877629898
Haiti,902875,1444,625.2596952908587258,0.00635600528543681939,0.00798438510834766357
Mali,1837825,1409,1304.3470546486870121,0.01293781023254373263,0.00779085776846389056
Ghana,1417875,1396,1015.6697707736389685,0.00998147140422398482,0.00771897618507848916
Kyrgyzstan,1264925,1229,1029.2310821806346623,0.00890474316564437908,0.00679557430620448652
Mozambique,529700,1138,465.4657293497363796,0.00372895029732342044,0.00629240322250667669
United States,6738600,1123,6000.5342831700801425,0.04743799220982367563,0.00620946293398505969
Sierra Leone,1118300,1106,1011.1211573236889693,0.00787254128279550893,0.00611546394032722708
Jordan,1096300,988,1109.6153846153846154,0.00771766700199295040,0.00546300033729050665
Zimbabwe,822775,795,1034.9371069182389937,0.00579212210851477677,0.00439583529164570120
Burkina Faso,1006250,786,1280.2162849872773537,0.00708373841170793245,0.00434607111853273100
Cameroon,294450,766,384.3994778067885117,0.00207285145374151623,0.00423548406717057500
