partner_id,partner_name,country,funded_amount,number_funded,average,percent_of_funded_amount,percent_of_number_funded
145,Negros Women for Tomorrow Foundation (NWTF),Philippines,10780325,34001,317.0590570865562778,0.07961148844809725602,0.18915821506656504348
311,iDE Cambodia,Cambodia,1221525,7227,169.0224159402241594,0.00902082482917370308,0.04020606512414533600
199,CrediCampo,El Salvador,3042950,4838,628.9685820587019430,0.02247184373134738936,0.02691530968183411312
125,"Community Economic Ventures, Inc. (CEVI)",Philippines,1351875,4566,296.0742444152431012,0.00998344492821612317,0.02540208846780788767
156,Juhudi Kilimo,Kenya,1723750,4527,380.7709299757013475,0.01272970000555712792,0.02518511924962030387
177,Interactuar,Colombia,2026750,4442,456.2696983340837461,0.01496732094924606759,0.02471223762023710841
138,SMEP Microfinance Bank,Kenya,1698125,3762,451.3888888888888889,0.01254046226073194944,0.02092918458517154477
126,Paglaum Multi-Purpose Cooperative (PMPC),Philippines,1216225,3722,326.7665233745298227,0.00898168492487815397,0.02070665205369709984
58,Fundación Paraguaya,Paraguay,9411275,3636,2588.3594609460946095,0.06950120807530074493,0.02022820711102704327
247,BRAC Pakistan,Pakistan,1676025,3590,466.8593314763231198,0.01237725624470711259,0.01997229469983143161
119,Asociación Arariwa,Peru,5356750,3202,1672.9387882573391630,0.03955899666701560261,0.01781372914452931588
164,Yehu Microfinance Trust,Kenya,924025,2914,317.0984900480439259,0.00682382076730089928,0.01621149491791331245
245,Kashf Foundation,Pakistan,1610675,2854,564.3570427470217239,0.01189465383985538913,0.01587769612070164507
100,IMON International,Tajikistan,1568550,2671,587.2519655559715462,0.01158356544958180305,0.01485960978920605956
202,One Acre Fund,Kenya,1922750,2621,733.5940480732544830,0.01419929263854095299,0.01458144412486300341
163,HOFOKAM,Uganda,1373425,2419,567.7656056221579165,0.01014258925605934643,0.01345765484091705656
288,Babban Gona Farmers Organization,Nigeria,526225,2407,218.6227669297881180,0.00388611247885383590,0.01339089508147472309
15,South Pacific Business Development (SPBD) - Samoa,Samoa,1639800,2114,775.6859035004730369,0.01210973869129083589,0.01176084428842441404
63,Humo,Tajikistan,1258050,2083,603.9606337013922228,0.00929055784887085992,0.01158838157653171923
137,Fundación ESPOIR,Ecuador,2121025,1980,1071.2247474747474747,0.01566353122801265105,0.01101536030798502356
136,Gata Daku Multi-purpose Cooperative (GDMPC),Philippines,609650,1963,310.5705552725420275,0.00450219672712858769,0.01092078398210838447
77,Al Majmoua,Lebanon,2839900,1936,1466.8904958677685950,0.02097234230357168243,0.01077057452336313415
80,Palestine for Credit & Development (FATEN),Palestine,3167150,1897,1669.5571955719557196,0.02338904677163176661,0.01055360530517555035
296,Assilassimé Solidarité,Togo,423250,1855,228.1671159029649596,0.00312565367794172844,0.01031994614712738318
428,Milaap,India,803850,1812,443.6258278145695364,0.00593634189961833055,0.01008072367579235489
188,VisionFund Ecuador,Ecuador,1525525,1774,859.9351747463359639,0.01126583066046557655,0.00986931777089163222
123,Alalay sa Kaunlaran (ASKI),Philippines,863500,1715,503.4985422740524781,0.00637685044513333138,0.00954108228696682596
204,VisionFund Cambodia,Cambodia,1354300,1691,800.8870490833826138,0.01000135328065323762,0.00940756276808215901
133,VisionFund Kenya,Kenya,458875,1652,277.7693704600484262,0.00338874029879624486,0.00919059354989457521
144,CCT Credit Cooperative,Philippines,958325,1637,585.4153940134392181,0.00707712241208152842,0.00910714385059165837
167,PADECOMSM,El Salvador,942325,1633,577.0514390691977955,0.00695896421043458771,0.00908489059744421388
154,Fundación Mario Santo Domingo (FMSD),Colombia,914625,1616,565.9808168316831683,0.00675440282383332161,0.00899031427156757478
121,Thanh Hoa Microfinance Institution,Vietnam,2374975,1599,1485.2876797998749218,0.01753892343477768811,0.00889573794569093569
9,KREDIT Microfinance Institution,Cambodia,2006875,1466,1368.9461118690313779,0.01482054630813775843,0.00815581727853840633
87,Tujijenge Tanzania,Tanzania,1269350,1377,921.8228031953522150,0.00937400707878401179,0.00766068239600776639
406,KSPPS Benteng Mikro Indonesia,Indonesia,549700,1301,422.5211375864719447,0.00405947271533270673,0.00723787058620632104
442,Entrepreneurs du Monde - Palmis Mikwofinans Sosyal,Haiti,560675,1297,432.2860447185813416,0.00414052185677490512,0.00721561733305887654
169,SEF International,Armenia,2023050,1260,1605.5952380952380952,0.01493999686511521255,0.00700977474144501499
143,Edpyme Alternativa,Peru,826050,1232,670.4951298701298701,0.00610028640440346078,0.00685400196941290355
81,Apoyo Integral,El Salvador,825200,1208,683.1125827814569536,0.00609400924994096705,0.00672048245052823660
386,Kenya ECLOF,Kenya,540975,1182,457.6776649746192893,0.00399503957099710937,0.00657583630506984740
246,ADICLA,Guatemala,1179950,1164,1013.7027491408934708,0.00871379812708173058,0.00647569666590634718
171,Bai Tushum Bank,Kyrgyzstan,1171425,1144,1023.9729020979020979,0.00865084196026671999,0.00636443040016912472
455,JWS Pakistan,Pakistan,373425,1140,327.5657894736842105,0.00275770165312555214,0.00634217714702168023
388,Hand in Hand Eastern Africa,Kenya,368950,1116,330.6003584229390681,0.00272465428110242341,0.00620865762813701328
23,Hluvuku-Adsema,Mozambique,433450,1063,407.7610536218250235,0.00320097953149165314,0.00591380202393337376
93,EDAPROSPO,Peru,2137525,1040,2055.3125000000000000,0.01578538187346105866,0.00578584581833556793
185,National Microfinance Bank,Jordan,1080050,982,1099.8472505091649695,0.00797604785554864453,0.00546317364769762280
146,Nor Horizon,Armenia,1169450,964,1213.1224066390041494,0.00863625680725092574,0.00536303400853412258
222,UGAFODE Microfinance,Uganda,655375,934,701.6862955032119914,0.00483987071277273544,0.00519613460992828889
443,Crédit Epargne Formation (CEFOR),Madagascar,288525,909,317.4092409240924092,0.00213072469563647300,0.00505705177775676082
359,Vahatra,Madagascar,268625,867,309.8327566320645905,0.00198376543233809049,0.00482339261970859365
176,MiCredito,Nicaragua,697000,833,836.7346938775510204,0.00514726665924485463,0.00463423996795531547
48,IMPRO,Bolivia,809825,817,991.2178702570379437,0.00598046660304585997,0.00454522695536553750
